timestamp,X,Y,Z
2025-04-13T15:40:51.498111,-118,30,16
2025-04-13T15:40:51.511185,-112,25,-6
2025-04-13T15:40:51.518046,-102,39,-27
2025-04-13T15:40:51.528006,-93,44,-19
2025-04-13T15:40:51.538073,-93,44,-19
2025-04-13T15:40:51.548284,-96,53,-11
2025-04-13T15:40:51.562253,-97,54,-14
2025-04-13T15:40:51.568167,-98,56,-24
2025-04-13T15:40:51.577902,-101,55,-27
2025-04-13T15:40:51.589129,-106,56,-26
2025-04-13T15:40:51.598049,-110,55,-24
2025-04-13T15:40:51.613949,-110,45,-17
2025-04-13T15:40:51.618056,-110,45,-17
2025-04-13T15:40:51.627988,-121,18,10
2025-04-13T15:40:51.637893,-122,19,25
2025-04-13T15:40:51.648096,-122,27,26
2025-04-13T15:40:51.664803,-121,37,13
2025-04-13T15:40:51.668140,-120,41,-4
2025-04-13T15:40:51.678051,-119,42,-9
2025-04-13T15:40:51.688179,-120,39,5
2025-04-13T15:40:51.698917,-120,39,5
2025-04-13T15:40:51.719234,-112,56,23
2025-04-13T15:40:51.728113,-99,72,12
2025-04-13T15:40:51.748169,-104,78,-5
2025-04-13T15:40:51.757985,-101,81,-1
2025-04-13T15:40:51.768012,-101,84,11
2025-04-13T15:40:51.778206,-106,85,24
2025-04-13T15:40:51.787993,-113,95,32
2025-04-13T15:40:51.801332,-113,95,32
2025-04-13T15:40:51.808083,-125,102,-27
2025-04-13T15:40:51.818564,-150,126,-20
2025-04-13T15:40:51.827890,-156,125,3
2025-04-13T15:40:51.838183,-156,138,2
2025-04-13T15:40:51.848122,-169,152,1
2025-04-13T15:40:51.858039,-191,122,101
2025-04-13T15:40:51.869631,-191,122,101
2025-04-13T15:40:51.878263,-158,53,30
2025-04-13T15:40:51.888116,-153,43,12
2025-04-13T15:40:51.901757,-151,35,4
2025-04-13T15:40:51.921350,-158,45,-32
2025-04-13T15:40:51.928102,-169,54,-32
2025-04-13T15:40:51.937974,-179,65,-33
2025-04-13T15:40:51.947770,-179,65,-33
2025-04-13T15:40:51.957853,-176,59,-22
2025-04-13T15:40:51.971436,-177,58,-17
2025-04-13T15:40:51.978102,-162,55,-23
2025-04-13T15:40:51.988103,-148,55,-42
2025-04-13T15:40:52.001067,-129,55,-64
2025-04-13T15:40:52.023348,-117,46,-47
2025-04-13T15:40:52.024475,-117,46,-47
2025-04-13T15:40:52.027750,-103,34,-20
2025-04-13T15:40:52.037991,-92,44,-46
2025-04-13T15:40:52.048034,-81,36,-31
2025-04-13T15:40:52.058055,-75,48,7
2025-04-13T15:40:52.074144,-78,52,-5
2025-04-13T15:40:52.078159,-74,60,-22
2025-04-13T15:40:52.088069,-72,65,-27
2025-04-13T15:40:52.097983,-72,65,-27
2025-04-13T15:40:52.108500,-65,63,-32
2025-04-13T15:40:52.128413,-73,63,-36
2025-04-13T15:40:52.137962,-85,46,-15
2025-04-13T15:40:52.147918,-95,33,-5
2025-04-13T15:40:52.157912,-97,22,-11
2025-04-13T15:40:52.167952,-97,19,-14
2025-04-13T15:40:52.178016,-104,18,-10
2025-04-13T15:40:52.188080,-104,18,-10
2025-04-13T15:40:52.198100,-111,29,-3
2025-04-13T15:40:52.218461,-120,40,11
2025-04-13T15:40:52.227927,-123,42,26
2025-04-13T15:40:52.237907,-122,44,42
2025-04-13T15:40:52.248147,-118,47,55
2025-04-13T15:40:52.258107,-102,50,56
2025-04-13T15:40:52.268041,-88,53,50
2025-04-13T15:40:52.279098,-88,53,50
2025-04-13T15:40:52.287985,-80,53,26
2025-04-13T15:40:52.298076,-86,54,12
2025-04-13T15:40:52.318076,-77,85,-2
2025-04-13T15:40:52.330815,-78,97,-1
2025-04-13T15:40:52.339172,-85,110,4
2025-04-13T15:40:52.348092,-83,131,-7
2025-04-13T15:40:52.358007,-81,149,-10
2025-04-13T15:40:52.367974,-79,156,7
2025-04-13T15:40:52.381522,-79,156,7
2025-04-13T15:40:52.387972,-85,137,27
2025-04-13T15:40:52.398144,-84,118,27
2025-04-13T15:40:52.413250,-79,93,21
2025-04-13T15:40:52.418235,-81,75,7
2025-04-13T15:40:52.432926,-124,79,-25
2025-04-13T15:40:52.437959,-170,79,-51
2025-04-13T15:40:52.448166,-323,26,196
2025-04-13T15:40:52.458180,-379,111,181
2025-04-13T15:40:52.468353,-379,111,181
2025-04-13T15:40:52.483875,-137,142,-88
2025-04-13T15:40:52.487835,-69,24,-68
2025-04-13T15:40:52.498018,-34,-26,56
2025-04-13T15:40:52.508230,-17,-83,171
2025-04-13T15:40:52.518334,-27,-71,86
2025-04-13T15:40:52.535529,-35,-21,-21
2025-04-13T15:40:52.538221,-35,-21,-21
2025-04-13T15:40:52.548306,-71,36,-96
2025-04-13T15:40:52.557877,-107,77,-96
2025-04-13T15:40:52.568196,-152,93,-95
2025-04-13T15:40:52.578058,-176,99,-77
2025-04-13T15:40:52.587970,-179,91,-56
2025-04-13T15:40:52.597961,-157,102,-56
2025-04-13T15:40:52.608570,-157,102,-56
2025-04-13T15:40:52.620912,-113,64,12
2025-04-13T15:40:52.628141,-106,61,22
2025-04-13T15:40:52.638121,-104,72,15
2025-04-13T15:40:52.648140,-106,63,17
2025-04-13T15:40:52.658150,-110,59,0
2025-04-13T15:40:52.668150,-117,61,-10
2025-04-13T15:40:52.678502,-128,64,-12
2025-04-13T15:40:52.688667,-128,64,-12
2025-04-13T15:40:52.729898,-148,56,1
2025-04-13T15:40:52.730456,-147,51,-3
2025-04-13T15:40:52.736409,-139,44,-2
2025-04-13T15:40:52.739953,-129,35,-4
2025-04-13T15:40:52.741091,-124,-46,6
2025-04-13T15:40:52.748002,-133,-16,14
2025-04-13T15:40:52.758039,-117,16,28
2025-04-13T15:40:52.768072,-117,16,28
2025-04-13T15:40:52.777919,-103,43,-8
2025-04-13T15:40:52.791857,-99,57,-43
2025-04-13T15:40:52.797943,-96,61,-50
2025-04-13T15:40:52.808410,-96,57,-28
2025-04-13T15:40:52.825458,-104,62,-11
2025-04-13T15:40:52.827967,-105,58,14
2025-04-13T15:40:52.842686,-105,49,20
2025-04-13T15:40:52.847813,-105,46,9
2025-04-13T15:40:52.857989,-105,46,9
2025-04-13T15:40:52.868115,-108,43,4
2025-04-13T15:40:52.878037,-112,42,-1
2025-04-13T15:40:52.893705,-115,40,-3
2025-04-13T15:40:52.897892,-118,34,-1
2025-04-13T15:40:52.908114,-121,28,9
2025-04-13T15:40:52.927524,-125,24,21
2025-04-13T15:40:52.929054,-125,31,24
2025-04-13T15:40:52.944856,-120,40,20
2025-04-13T15:40:52.947856,-116,55,5
2025-04-13T15:40:52.957767,-116,55,5
2025-04-13T15:40:52.967956,-107,72,-10
2025-04-13T15:40:52.978050,-100,79,-10
2025-04-13T15:40:52.987842,-102,81,-14
2025-04-13T15:40:52.998087,-101,85,1
2025-04-13T15:40:53.007958,-104,90,24
2025-04-13T15:40:53.031387,-115,96,32
2025-04-13T15:40:53.032289,-121,101,23
2025-04-13T15:40:53.037976,-121,101,23
2025-04-13T15:40:53.048021,-129,110,-5
2025-04-13T15:40:53.057834,-144,124,-16
2025-04-13T15:40:53.068097,-142,133,-16
2025-04-13T15:40:53.079171,-137,149,-14
2025-04-13T15:40:53.088333,-157,151,14
2025-04-13T15:40:53.098014,-157,151,14
2025-04-13T15:40:53.107720,-152,91,97
2025-04-13T15:40:53.117937,-141,70,32
2025-04-13T15:40:53.132770,-125,68,2
2025-04-13T15:40:53.137974,-127,54,-8
2025-04-13T15:40:53.149749,-134,37,-5
2025-04-13T15:40:53.157839,-147,23,0
2025-04-13T15:40:53.168300,-157,32,-14
2025-04-13T15:40:53.178141,-166,49,-12
2025-04-13T15:40:53.188032,-166,49,-12
2025-04-13T15:40:53.200661,-173,52,-23
2025-04-13T15:40:53.207759,-166,55,-30
2025-04-13T15:40:53.218079,-151,45,-31
2025-04-13T15:40:53.235166,-154,51,-29
2025-04-13T15:40:53.237910,-148,57,-43
2025-04-13T15:40:53.248715,-138,53,-45
2025-04-13T15:40:53.257918,-138,53,-45
2025-04-13T15:40:53.268260,-125,43,-32
2025-04-13T15:40:53.278241,-115,46,-36
2025-04-13T15:40:53.289742,-102,53,-49
2025-04-13T15:40:53.307251,-95,48,-15
2025-04-13T15:40:53.308383,-94,57,21
2025-04-13T15:40:53.318002,-89,69,3
2025-04-13T15:40:53.327763,-83,72,-13
2025-04-13T15:40:53.338080,-83,72,-13
2025-04-13T15:40:53.354729,-74,80,-21
2025-04-13T15:40:53.359981,-77,74,-16
2025-04-13T15:40:53.367921,-76,71,-13
2025-04-13T15:40:53.377983,-80,55,-10
2025-04-13T15:40:53.388099,-79,45,-12
2025-04-13T15:40:53.397984,-81,36,-16
2025-04-13T15:40:53.407956,-88,38,-14
2025-04-13T15:40:53.417948,-91,37,-11
2025-04-13T15:40:53.427632,-91,37,-11
2025-04-13T15:40:53.439838,-98,34,1
2025-04-13T15:40:53.447921,-104,37,12
2025-04-13T15:40:53.459401,-113,38,22
2025-04-13T15:40:53.467775,-116,42,19
2025-04-13T15:40:53.477862,-119,43,22
2025-04-13T15:40:53.487817,-118,48,27
2025-04-13T15:40:53.498001,-112,49,33
2025-04-13T15:40:53.507989,-106,51,41
2025-04-13T15:40:53.517907,-106,51,41
2025-04-13T15:40:53.527820,-97,58,50
2025-04-13T15:40:53.547954,-90,60,33
2025-04-13T15:40:53.559217,-88,60,21
2025-04-13T15:40:53.572893,-91,69,1
2025-04-13T15:40:53.588074,-87,75,-5
2025-04-13T15:40:53.598003,-83,79,-2
2025-04-13T15:40:53.610089,-83,91,1
2025-04-13T15:40:53.618003,-79,92,12
2025-04-13T15:40:53.627730,-73,107,17
2025-04-13T15:40:53.644327,-73,107,17
2025-04-13T15:40:53.661505,-67,115,27
2025-04-13T15:40:53.667779,-72,107,27
2025-04-13T15:40:53.677854,-80,97,22
2025-04-13T15:40:53.688063,-87,84,10
2025-04-13T15:40:53.697916,-104,71,2
2025-04-13T15:40:53.712752,-158,89,-31
2025-04-13T15:40:53.718165,-234,84,5
2025-04-13T15:40:53.727916,-234,84,5
2025-04-13T15:40:53.747161,-374,101,170
2025-04-13T15:40:53.748078,-275,130,29
2025-04-13T15:40:53.763988,-111,115,8
2025-04-13T15:40:53.767817,-54,31,-52
2025-04-13T15:40:53.777988,-15,-42,49
2025-04-13T15:40:53.788003,-23,-109,182
2025-04-13T15:40:53.797913,-34,-7,77
2025-04-13T15:40:53.807899,-34,-7,77
2025-04-13T15:40:53.818007,-57,-28,-75
2025-04-13T15:40:53.827765,-76,21,-102
2025-04-13T15:40:53.838039,-123,71,-119
2025-04-13T15:40:53.849119,-160,106,-121
2025-04-13T15:40:53.869217,-172,94,-56
2025-04-13T15:40:53.878270,-172,94,-56
2025-04-13T15:40:53.889707,-122,50,10
2025-04-13T15:40:53.898056,-101,28,36
2025-04-13T15:40:53.907975,-118,91,37
2025-04-13T15:40:53.918450,-107,93,60
2025-04-13T15:40:53.928081,-100,90,50
2025-04-13T15:40:53.981246,-97,71,23
2025-04-13T15:40:53.982493,-105,59,0
2025-04-13T15:40:53.986915,-105,59,0
2025-04-13T15:40:53.989116,-104,66,-20
2025-04-13T15:40:53.990964,-116,61,-18
2025-04-13T15:40:53.996782,-127,66,-12
2025-04-13T15:40:53.998037,-133,63,-1
2025-04-13T15:40:54.010706,-130,57,1
2025-04-13T15:40:54.024361,-126,58,-15
2025-04-13T15:40:54.053603,-121,55,-20
2025-04-13T15:40:54.055191,-121,55,-20
2025-04-13T15:40:54.056988,-116,51,-21
2025-04-13T15:40:54.071122,-109,42,-17
2025-04-13T15:40:54.075632,-109,29,-13
2025-04-13T15:40:54.085007,-107,38,-15
2025-04-13T15:40:54.089936,-112,41,-9
2025-04-13T15:40:54.099447,-114,47,-17
2025-04-13T15:40:54.108992,-114,47,-17
2025-04-13T15:40:54.127247,-105,38,-35
2025-04-13T15:40:54.129259,-106,32,-27
2025-04-13T15:40:54.142068,-107,21,-15
2025-04-13T15:40:54.158383,-112,20,4
2025-04-13T15:40:54.159434,-118,29,16
2025-04-13T15:40:54.173833,-119,33,9
2025-04-13T15:40:54.181256,-118,36,7
2025-04-13T15:40:54.188045,-118,36,7
2025-04-13T15:40:54.198155,-118,42,5
2025-04-13T15:40:54.224495,-116,50,8
2025-04-13T15:40:54.227910,-113,55,9
2025-04-13T15:40:54.237858,-109,59,1
2025-04-13T15:40:54.248173,-103,63,-8
2025-04-13T15:40:54.258951,-96,74,-4
2025-04-13T15:40:54.276390,-106,71,-14
2025-04-13T15:40:54.279160,-102,73,-19
2025-04-13T15:40:54.288123,-105,73,-17
2025-04-13T15:40:54.298017,-105,73,-17
2025-04-13T15:40:54.308247,-112,76,-4
2025-04-13T15:40:54.318142,-121,77,5
2025-04-13T15:40:54.328307,-127,81,11
2025-04-13T15:40:54.338490,-135,101,21
2025-04-13T15:40:54.348432,-146,106,-18
2025-04-13T15:40:54.361155,-148,105,-36
2025-04-13T15:40:54.368200,-148,105,-36
2025-04-13T15:40:54.378925,-147,107,1
2025-04-13T15:40:54.388123,-155,107,25
2025-04-13T15:40:54.408107,-160,53,78
2025-04-13T15:40:54.418314,-135,54,25
2025-04-13T15:40:54.429519,-122,55,-5
2025-04-13T15:40:54.437889,-122,55,-5
2025-04-13T15:40:54.448016,-119,55,-3
2025-04-13T15:40:54.461414,-126,51,11
2025-04-13T15:40:54.468118,-140,59,2
2025-04-13T15:40:54.480847,-153,74,-4
2025-04-13T15:40:54.487839,-159,74,-10
2025-04-13T15:40:54.497896,-154,73,-15
2025-04-13T15:40:54.508050,-155,70,-22
2025-04-13T15:40:54.517984,-157,64,-35
2025-04-13T15:40:54.531886,-157,64,-35
2025-04-13T15:40:54.537966,-163,61,-31
2025-04-13T15:40:54.548012,-162,62,-28
2025-04-13T15:40:54.558211,-151,63,-50
2025-04-13T15:40:54.567865,-139,48,-34
2025-04-13T15:40:54.583617,-122,42,-31
2025-04-13T15:40:54.587799,-122,42,-31
